8.360697069613869417e+02,6.555661714245082976e+02
7.493792212137327624e+02,5.943245568239012755e+02
7.951964160478102031e+02,6.355587963015263995e+02
1.168120974930940292e+03,9.441941340405843448e+02
1.307810483701963904e+03,1.048124505989371301e+03
1.533542680273705855e+03,1.221100002067090372e+03
1.672045645077718746e+03,1.332077790451641476e+03
1.600685697143968127e+03,1.280166037447432018e+03
6.067570301448585042e+02,4.876543765810712898e+02
7.267455076145429516e+00,1.561243246311309285e+01
2.078807556559452223e+03,1.665241549572963550e+03
1.586159634273371921e+03,1.290073327965048520e+03
1.774134286663898138e+03,1.414538932263309562e+03
